# What the budget bought, per part of speech. Both columns count deliberately:
#
#   stems  distinct stem strings, not dictionary entries. A stem the .dic lists several
#          times (homographs carrying different flags) is one row and one keep-or-drop
#          decision, because `dic2dict --keep-stems` matches by the stem string.
#
#   forms  summed per entry, before de-duplication: several entries can expand to the
#          same word (`zlom` comes out of `zlo`, `zlom`, `zlomiť` and `zlý` alike). The
#          budget is spent in this currency on purpose — a cost has to belong to exactly
#          one entry to be knapsack-able — so these totals run some 1.5 % above the
#          number of distinct forms the build ends up holding. For that number, expand
#          the result: `expand.py dictionary.dict annotations.json | sort -u | wc -l`.

pos             stems     kept      %      forms       kept      %
adjective     672,192   10,113   1.5%  1,979,040    262,502  13.3%
verb           15,980    4,800  30.0%    494,190    147,571  29.9%
noun           39,482   18,859  47.8%    352,326    162,660  46.2%
(none)         66,393   20,413  30.7%     67,509     21,091  31.2%
number          2,099    2,099 100.0%     22,663     22,663 100.0%
adverb          2,012    1,304  64.8%      4,362      2,410  55.2%
acronym           925      759  82.1%        935        765  81.8%
pronoun            77       77 100.0%        131        131 100.0%
adjectiv           25        1   4.0%         74         50  67.6%
preposition        58       58 100.0%         73         73 100.0%
conjunction        42       42 100.0%         44         44 100.0%
interjection       24       24 100.0%         24         24 100.0%
particle           13       13 100.0%         15         15 100.0%
participle          1        1 100.0%          1          1 100.0%
TOTAL         799,323   58,563   7.3%  2,921,387    620,000  21.2%
